date,driving,walking,transit,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-03-12,107.1,106.42,94.81,Manitoba,12.0,33.0,5.0,-6.0,5.0,0.0,1,352.0,1.0,1,257.0
2020-03-13,112.86,109.28,86.83,Manitoba,4.0,41.0,-14.0,-12.0,-5.0,3.0,3,352.0,3.0,2,257.0
2020-03-14,95.05,95.1,65.27,Manitoba,-7.0,23.0,-23.0,-12.0,1.0,4.0,4,837.0,4.0,1,611.0
2020-03-15,66.61,59.66,51.38,Manitoba,-18.0,3.0,-20.0,-22.0,-7.0,4.0,4,837.0,4.0,0,611.0
2020-03-16,74.94,74.8,63.68,Manitoba,-11.0,18.0,-19.0,-29.0,-11.0,7.0,7,1848.0,7.0,3,1349.0
2020-03-17,74.9,68.84,53.75,Manitoba,-19.0,19.0,-16.0,-31.0,-17.0,10.0,7,2216.0,7.0,0,1618.0
2020-03-18,70.42,66.5,52.39,Manitoba,-25.0,13.0,-28.0,-41.0,-23.0,12.0,15,2739.0,15.0,8,2000.0
2020-03-19,71.23,68.86,42.69,Manitoba,-29.0,12.0,-27.0,-48.0,-27.0,14.0,17,3189.0,17.0,2,2329.0
2020-03-20,80.94,72.52,43.18,Manitoba,-31.0,8.0,-31.0,-46.0,-31.0,15.0,17,3367.0,17.0,0,2459.0
2020-03-21,62.8,63.67,33.88,Manitoba,-45.0,-9.0,-25.0,-41.0,-24.0,12.0,19,3668.0,19.0,2,2678.0
2020-03-22,48.57,45.14,27.55,Manitoba,-51.0,-21.0,-16.0,-50.0,-32.0,10.0,19,3936.0,19.0,0,2874.0
2020-03-23,60.69,66.01,31.32,Manitoba,-41.0,-11.0,-3.0,-54.0,-40.0,17.0,20,4133.0,20.0,1,3018.0
2020-03-24,59.33,54.92,27.95,Manitoba,-45.0,-11.0,-32.0,-57.0,-42.0,19.0,21,4406.0,21.0,1,3217.0
2020-03-25,60.49,64.31,32.32,Manitoba,-45.0,-14.0,-19.0,-57.0,-43.0,19.0,35,4740.0,35.0,14,3461.0
2020-03-26,61.54,59.0,27.36,Manitoba,-43.0,-7.0,-18.0,-60.0,-43.0,20.0,36,5429.0,35.0,1,3964.0
2020-03-27,72.78,77.3,33.04,Manitoba,-40.0,-5.0,-14.0,-57.0,-44.0,20.0,39,6022.0,37.0,3,4397.0
2020-03-28,62.76,67.78,27.34,Manitoba,-46.0,-13.0,-9.0,-50.0,-33.0,13.0,64,6931.0,62.0,25,5061.0
2020-03-29,50.13,54.73,25.22,Manitoba,-49.0,-21.0,-9.0,-56.0,-36.0,11.0,72,7876.0,70.0,8,5751.0
2020-03-30,64.63,75.44,26.2,Manitoba,-38.0,-12.0,4.0,-57.0,-47.0,18.0,96,8326.0,93.0,24,6080.0
2020-03-31,67.35,71.23,27.38,Manitoba,-36.0,-4.0,2.0,-58.0,-47.0,19.0,103,8629.0,98.0,7,6301.0
2020-04-01,63.32,62.75,25.77,Manitoba,-46.0,-14.0,-24.0,-62.0,-49.0,20.0,127,9811.0,122.0,24,7164.0
2020-04-02,50.35,46.3,22.96,Manitoba,-59.0,-28.0,-55.0,-68.0,-52.0,24.0,167,11098.0,155.0,40,8104.0
2020-04-03,58.72,55.85,26.34,Manitoba,-55.0,-24.0,-60.0,-65.0,-54.0,25.0,182,11650.0,180.0,15,8507.0
2020-04-04,56.28,53.04,26.01,Manitoba,-54.0,-23.0,-52.0,-57.0,-37.0,16.0,194,12191.0,192.0,12,8902.0
2020-04-05,45.36,46.96,22.07,Manitoba,-54.0,-29.0,-30.0,-61.0,-40.0,12.0,203,12771.0,184.0,9,9326.0
2020-04-06,60.58,63.64,25.14,Manitoba,-43.0,-17.0,-16.0,-61.0,-48.0,20.0,204,13788.0,185.0,1,10068.0
2020-04-07,62.65,64.52,26.13,Manitoba,-44.0,-9.0,-11.0,-59.0,-49.0,21.0,217,13990.0,214.0,13,10216.0
2020-04-08,65.14,67.07,23.42,Manitoba,-43.0,-12.0,-36.0,-62.0,-49.0,21.0,221,14569.0,218.0,4,10638.0
2020-04-09,79.75,72.0,29.39,Manitoba,-27.0,21.0,-26.0,-59.0,-49.0,19.0,224,14569.0,221.0,3,10638.0
2020-04-10,60.69,64.15,23.59,Manitoba,-75.0,-63.0,-7.0,-73.0,-82.0,33.0,230,16075.0,226.0,6,11738.0
2020-04-11,63.96,62.24,26.47,Manitoba,-42.0,0.0,-42.0,-55.0,-38.0,15.0,243,16220.0,239.0,13,11844.0
2020-04-12,44.73,42.08,25.01,Manitoba,-74.0,-63.0,-35.0,-65.0,-47.0,13.0,242,17066.0,238.0,-1,12462.0
2020-04-13,60.34,55.29,30.9,Manitoba,-44.0,-16.0,-38.0,-68.0,-57.0,23.0,246,17119.0,242.0,4,12501.0
2020-04-14,67.36,63.53,30.62,Manitoba,-43.0,-10.0,-25.0,-60.0,-48.0,21.0,246,17789.0,242.0,0,12990.0
2020-04-15,72.43,66.82,28.99,Manitoba,-38.0,-10.0,-19.0,-59.0,-48.0,20.0,246,17789.0,241.0,0,12990.0
2020-04-16,73.13,73.06,29.25,Manitoba,-39.0,-6.0,-15.0,-60.0,-47.0,21.0,250,18318.0,245.0,4,13376.0
2020-04-17,84.64,82.24,29.95,Manitoba,-39.0,-10.0,-2.0,-58.0,-48.0,21.0,250,18814.0,245.0,0,13738.0
2020-04-18,70.85,65.23,25.75,Manitoba,-48.0,-19.0,-42.0,-56.0,-33.0,14.0,253,19412.0,116.0,3,14175.0
2020-04-19,58.41,54.01,25.56,Manitoba,-49.0,-27.0,-19.0,-61.0,-36.0,11.0,253,19634.0,105.0,0,14337.0
2020-04-20,71.76,63.27,31.09,Manitoba,-42.0,-16.0,-27.0,-61.0,-46.0,19.0,254,19924.0,105.0,1,14549.0
2020-04-21,74.15,67.35,26.85,Manitoba,-42.0,-12.0,-11.0,-60.0,-47.0,20.0,255,20328.0,99.0,1,14844.0
2020-04-22,79.79,87.48,32.74,Manitoba,-38.0,-9.0,21.0,-57.0,-46.0,19.0,257,20651.0,97.0,2,15080.0
2020-04-23,84.23,91.57,30.45,Manitoba,-36.0,-3.0,39.0,-57.0,-45.0,18.0,262,21229.0,82.0,5,15502.0
2020-04-24,93.06,92.12,36.43,Manitoba,-39.0,-10.0,8.0,-56.0,-46.0,19.0,263,21720.0,61.0,1,15860.0
2020-04-25,76.47,70.81,28.14,Manitoba,-46.0,-18.0,-29.0,-53.0,-31.0,13.0,267,21720.0,62.0,4,15860.0
2020-04-26,66.29,69.02,25.79,Manitoba,-44.0,-22.0,14.0,-55.0,-34.0,9.0,271,21720.0,66.0,4,15860.0
2020-04-27,83.28,99.44,34.8,Manitoba,-34.0,-10.0,35.0,-56.0,-45.0,17.0,272,23149.0,61.0,1,16904.0
2020-04-28,83.56,82.2,35.07,Manitoba,-36.0,-5.0,-9.0,-55.0,-46.0,13.0,272,23379.0,57.0,0,17072.0
2020-04-29,92.0,103.03,37.78,Manitoba,-31.0,-2.0,43.0,-52.0,-45.0,17.0,273,23817.0,54.0,1,17391.0
2020-04-30,94.78,105.89,38.76,Manitoba,-30.0,1.0,49.0,-54.0,-44.0,17.0,275,24304.0,49.0,2,17747.0
2020-05-01,98.49,102.3,37.19,Manitoba,-37.0,-10.0,-22.0,-58.0,-45.0,20.0,279,24975.0,38.0,4,18237.0
2020-05-02,87.63,80.14,35.24,Manitoba,-42.0,-14.0,-23.0,-50.0,-29.0,12.0,280,25736.0,38.0,1,18793.0
2020-05-03,74.11,75.5,38.01,Manitoba,-39.0,-16.0,18.0,-53.0,-30.0,8.0,281,26253.0,38.0,1,19170.0
2020-05-04,89.46,95.18,42.84,Manitoba,-28.0,-9.0,23.0,-55.0,-42.0,16.0,281,26857.0,37.0,0,19611.0
2020-05-05,97.4,101.44,39.48,Manitoba,-27.0,0.0,52.0,-50.0,-42.0,16.0,282,27202.0,37.0,1,19863.0
2020-05-06,99.99,107.56,41.36,Manitoba,-26.0,-2.0,45.0,-51.0,-42.0,16.0,284,27712.0,35.0,2,20236.0
2020-05-07,102.14,99.82,39.48,Manitoba,-25.0,4.0,27.0,-55.0,-41.0,17.0,283,28232.0,33.0,-1,20615.0
2020-05-08,115.87,113.39,39.2,Manitoba,-28.0,0.0,20.0,-53.0,-42.0,17.0,284,28742.0,30.0,1,20988.0
2020-05-09,102.13,93.47,37.0,Manitoba,-29.0,3.0,10.0,-45.0,-23.0,10.0,284,29438.0,30.0,0,21496.0
2020-05-10,80.07,68.68,32.57,Manitoba,-27.0,-4.0,22.0,-51.0,-24.0,6.0,287,30046.0,33.0,3,21940.0
2020-05-13,101.45,93.31,37.5,Manitoba,-29.0,-4.0,-20.0,-57.0,-41.0,17.0,290,31416.0,32.0,0,22940.0
2020-05-14,108.81,101.53,37.25,Manitoba,-24.0,7.0,13.0,-54.0,-40.0,16.0,289,31742.0,30.0,-1,23178.0
2020-05-15,132.28,136.01,43.56,Manitoba,-23.0,6.0,81.0,-50.0,-43.0,14.0,289,32492.0,28.0,0,23726.0
2020-05-16,111.81,107.87,38.54,Manitoba,-28.0,-2.0,110.0,-44.0,-24.0,6.0,289,33295.0,25.0,0,24312.0
2020-05-17,100.37,103.71,38.9,Manitoba,-22.0,0.0,191.0,-45.0,-26.0,3.0,289,34042.0,25.0,0,24858.0
2020-05-18,99.76,105.06,39.45,Manitoba,-37.0,-26.0,197.0,-65.0,-77.0,19.0,290,34498.0,26.0,1,25191.0
2020-05-19,119.47,130.07,46.87,Manitoba,-17.0,12.0,90.0,-47.0,-40.0,13.0,290,34892.0,26.0,0,25479.0
2020-05-20,132.47,146.41,45.09,Manitoba,-10.0,15.0,89.0,-45.0,-39.0,13.0,290,35133.0,26.0,0,25655.0
2020-05-21,126.35,135.75,44.75,Manitoba,-12.0,14.0,79.0,-47.0,-39.0,14.0,290,35723.0,18.0,0,26085.0
2020-05-22,144.05,143.44,45.17,Manitoba,-18.0,6.0,78.0,-47.0,-38.0,13.0,292,36590.0,18.0,2,26718.0
2020-05-23,120.37,123.45,45.34,Manitoba,-22.0,1.0,86.0,-38.0,-16.0,6.0,292,37025.0,17.0,0,27036.0
2020-05-24,94.15,85.31,38.65,Manitoba,-24.0,-6.0,69.0,-45.0,-22.0,5.0,292,37903.0,17.0,0,27677.0
2020-05-25,124.49,140.2,47.56,Manitoba,-12.0,4.0,94.0,-45.0,-38.0,12.0,292,38072.0,17.0,0,27801.0
2020-05-26,123.58,127.05,47.69,Manitoba,-17.0,4.0,78.0,-47.0,-37.0,13.0,292,38775.0,16.0,0,28314.0
2020-05-27,132.41,137.97,48.18,Manitoba,-10.0,10.0,108.0,-42.0,-36.0,12.0,292,39790.0,14.0,0,29055.0
2020-05-28,129.41,120.18,44.56,Manitoba,-15.0,12.0,29.0,-50.0,-36.0,14.0,294,40709.0,14.0,2,29726.0
2020-05-29,144.26,144.63,48.52,Manitoba,-18.0,6.0,72.0,-47.0,-37.0,13.0,294,41578.0,14.0,0,30361.0
2020-05-30,128.89,128.88,47.12,Manitoba,-20.0,2.0,125.0,-32.0,-10.0,4.0,294,41578.0,9.0,0,30361.0
2020-05-31,109.97,109.39,45.51,Manitoba,-18.0,0.0,160.0,-37.0,-12.0,1.0,295,41578.0,10.0,1,30361.0
2020-06-01,131.41,143.36,54.74,Manitoba,-7.0,8.0,101.0,-44.0,-34.0,10.0,295,43807.0,10.0,0,31988.0
2020-06-02,133.08,140.05,56.67,Manitoba,-10.0,11.0,114.0,-41.0,-33.0,11.0,297,44400.0,12.0,2,32421.0
2020-06-03,139.84,145.75,55.67,Manitoba,-8.0,9.0,110.0,-42.0,-32.0,11.0,298,45128.0,9.0,1,32953.0
2020-06-04,142.44,152.05,52.39,Manitoba,-5.0,17.0,110.0,-42.0,-31.0,11.0,298,46033.0,7.0,0,33614.0
2020-06-05,158.08,188.81,61.39,Manitoba,-11.0,6.0,99.0,-42.0,-33.0,10.0,300,46668.0,9.0,2,34078.0
2020-06-06,130.83,130.65,49.2,Manitoba,-20.0,-3.0,83.0,-42.0,-11.0,5.0,300,46668.0,9.0,0,34078.0
2020-06-07,102.19,94.83,46.89,Manitoba,-19.0,-4.0,69.0,-45.0,-14.0,3.0,300,46668.0,9.0,0,34078.0
2020-06-08,129.82,137.45,56.67,Manitoba,-8.0,4.0,82.0,-47.0,-32.0,11.0,300,48706.0,9.0,0,35566.0
2020-06-09,132.89,122.72,53.85,Manitoba,-11.0,5.0,48.0,-47.0,-32.0,12.0,300,49296.0,8.0,0,35997.0
2020-06-10,140.16,145.21,60.1,Manitoba,-4.0,9.0,84.0,-42.0,-31.0,11.0,300,49929.0,8.0,0,36459.0
2020-06-11,146.91,151.74,60.48,Manitoba,-3.0,15.0,107.0,-41.0,-30.0,10.0,300,50663.0,7.0,0,36995.0
2020-06-12,169.51,166.08,58.26,Manitoba,-7.0,9.0,139.0,-40.0,-32.0,8.0,301,51402.0,5.0,1,37534.0
2020-06-13,152.3,152.99,53.24,Manitoba,-13.0,3.0,168.0,-28.0,-6.0,2.0,303,52048.0,7.0,2,38006.0
2020-06-14,123.57,117.55,49.96,Manitoba,-11.0,0.0,175.0,-36.0,-10.0,0.0,304,52650.0,8.0,1,38446.0
2020-06-15,144.46,146.11,67.81,Manitoba,-2.0,9.0,119.0,-42.0,-32.0,9.0,304,53342.0,5.0,0,38951.0
2020-06-16,145.75,148.32,58.37,Manitoba,-5.0,11.0,130.0,-40.0,-31.0,10.0,304,53860.0,5.0,0,39329.0
2020-06-17,145.85,144.02,60.76,Manitoba,-5.0,8.0,78.0,-43.0,-32.0,11.0,306,54204.0,6.0,2,39580.0
2020-06-18,151.55,142.32,61.14,Manitoba,-2.0,15.0,80.0,-42.0,-30.0,10.0,308,54842.0,8.0,2,40046.0
2020-06-19,177.65,178.25,61.65,Manitoba,-3.0,12.0,130.0,-40.0,-32.0,6.0,311,55401.0,11.0,3,40454.0
2020-06-20,148.75,145.91,50.15,Manitoba,-13.0,4.0,84.0,-34.0,-5.0,4.0,313,56147.0,13.0,2,40999.0
2020-06-21,116.18,105.11,49.49,Manitoba,-6.0,3.0,114.0,-37.0,-6.0,-1.0,313,56847.0,13.0,0,41510.0
2020-06-22,149.45,160.56,61.58,Manitoba,-1.0,5.0,124.0,-40.0,-33.0,9.0,314,57149.0,14.0,1,41731.0
2020-06-23,155.31,165.0,63.58,Manitoba,-2.0,9.0,141.0,-39.0,-32.0,9.0,314,57784.0,14.0,0,42195.0
2020-06-24,163.32,167.57,65.31,Manitoba,1.0,13.0,177.0,-37.0,-31.0,8.0,315,58358.0,15.0,1,42614.0
2020-06-25,164.67,164.5,63.17,Manitoba,0.0,16.0,120.0,-39.0,-30.0,9.0,316,58749.0,15.0,1,42899.0
