date,days_post_first_lockdown,day_of_week,holiday,region,stringency_index,driving,walking,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numdeaths,numactive,numtoday,ratetotal,ratetested
2020-03-15,4,6,0,Newfoundland and Labrador,24.07,-24.260000000000005,-19.349999999999994,13.0,25.0,18.0,11.0,11.0,-1.0,1,0.0,1.0,1,0.19,119.0
2020-03-16,5,0,0,Newfoundland and Labrador,43.52,-15.459999999999994,0.5799999999999983,8.0,46.0,62.0,-9.0,-20.0,3.0,1,0.0,1.0,0,0.19,309.0
2020-03-17,6,1,1,Newfoundland and Labrador,43.52,-17.560000000000002,-4.329999999999998,-11.0,23.0,25.0,-15.0,-23.0,7.0,1,0.0,1.0,0,0.19,309.0
2020-03-18,7,2,0,Newfoundland and Labrador,61.11,-27.47,-20.019999999999996,-23.0,13.0,-6.0,-25.0,-33.0,11.0,3,0.0,3.0,2,0.58,309.0
2020-03-19,8,3,0,Newfoundland and Labrador,61.11,-18.17,-12.700000000000003,-19.0,14.0,36.0,-24.0,-37.0,10.0,3,0.0,3.0,0,0.58,512.0
2020-03-20,9,4,0,Newfoundland and Labrador,71.3,-26.310000000000002,-26.08,-33.0,-1.0,0.0,-32.0,-17.0,14.0,4,0.0,4.0,1,0.77,550.0
2020-03-21,10,5,0,Newfoundland and Labrador,71.3,-38.41,-38.98,-46.0,-17.0,-27.0,-37.0,-26.0,12.0,6,0.0,6.0,2,1.15,573.0
2020-03-22,11,6,0,Newfoundland and Labrador,71.3,-51.31,-41.29,-38.0,-17.0,18.0,-19.0,-18.0,5.0,9,0.0,9.0,3,1.73,573.0
2020-03-23,12,0,0,Newfoundland and Labrador,72.69,-41.43,-32.150000000000006,-39.0,-10.0,55.0,-39.0,-46.0,12.0,24,0.0,24.0,15,4.6,1714.0
2020-03-24,13,1,0,Newfoundland and Labrador,72.69,-53.0,-47.74,-51.0,-22.0,-14.0,-50.0,-54.0,17.0,35,0.0,35.0,11,6.71,2084.0
2020-03-25,14,2,0,Newfoundland and Labrador,72.69,-64.81,-56.69,-66.0,-48.0,-38.0,-67.0,-62.0,21.0,67,0.0,67.0,32,12.85,2368.0
2020-03-26,15,3,0,Newfoundland and Labrador,72.69,-44.67,-28.870000000000005,-51.0,-26.0,6.0,-56.0,-58.0,18.0,82,0.0,82.0,15,15.72,2774.0
2020-03-27,16,4,0,Newfoundland and Labrador,72.69,-54.41,-46.29,-61.0,-38.0,-53.0,-70.0,-45.0,24.0,102,0.0,102.0,20,19.56,3229.0
2020-03-28,17,5,0,Newfoundland and Labrador,72.69,-50.6,-43.89,-55.0,-26.0,-26.0,-49.0,-42.0,14.0,120,0.0,116.0,18,23.01,3656.0
2020-03-29,18,6,0,Newfoundland and Labrador,72.69,-62.61,-53.03,-54.0,-38.0,-18.0,-60.0,-35.0,9.0,135,0.0,131.0,15,25.88,4040.0
2020-03-30,19,0,0,Newfoundland and Labrador,72.69,-59.3,-52.36,-58.0,-33.0,-18.0,-63.0,-59.0,17.0,148,1.0,140.0,13,28.38,4471.0
2020-03-31,20,1,0,Newfoundland and Labrador,72.69,-54.79,-40.23,-54.0,-33.0,-16.0,-58.0,-61.0,20.0,152,1.0,144.0,4,29.14,4793.0
2020-04-01,21,2,0,Newfoundland and Labrador,74.54,-43.7,-35.129999999999995,-51.0,-30.0,-13.0,-62.0,-60.0,19.0,175,1.0,164.0,23,33.55,5296.0
2020-04-02,22,3,0,Newfoundland and Labrador,74.54,-47.35,-40.42,-52.0,-29.0,-25.0,-67.0,-60.0,20.0,183,1.0,172.0,8,35.09,5568.0
2020-04-03,23,4,0,Newfoundland and Labrador,74.54,-42.12,-29.930000000000007,-51.0,-24.0,-30.0,-61.0,-45.0,22.0,183,1.0,182.0,0,35.09,6013.0
2020-04-04,24,5,0,Newfoundland and Labrador,72.69,-45.76,-34.84,-55.0,-27.0,-30.0,-62.0,-44.0,14.0,195,1.0,194.0,12,37.39,6414.0
2020-04-05,25,6,0,Newfoundland and Labrador,72.69,-49.98,-46.49,-43.0,-25.0,23.0,-58.0,-33.0,8.0,217,1.0,205.0,22,41.61,6818.0
2020-04-06,26,0,0,Newfoundland and Labrador,72.69,-47.9,-33.879999999999995,-47.0,-22.0,11.0,-60.0,-57.0,16.0,226,2.0,192.0,9,43.33,7240.0
2020-04-07,27,1,0,Newfoundland and Labrador,72.69,-47.22,-38.69,-49.0,-24.0,-13.0,-60.0,-60.0,19.0,228,2.0,226.0,2,43.72,7589.0
2020-04-08,28,2,0,Newfoundland and Labrador,72.69,-40.97,-27.33,-43.0,-17.0,5.0,-63.0,-59.0,18.0,232,2.0,230.0,4,44.48,7928.0
2020-04-09,29,3,0,Newfoundland and Labrador,72.69,-32.55,-3.8499999999999943,-32.0,0.0,4.0,-60.0,-60.0,17.0,236,3.0,233.0,4,45.25,8406.0
2020-04-10,30,4,1,Newfoundland and Labrador,72.69,-52.81,-53.42,-81.0,-75.0,-45.0,-83.0,-74.0,30.0,239,3.0,236.0,3,45.83,8667.0
2020-04-11,31,5,0,Newfoundland and Labrador,72.69,-36.98,-28.489999999999995,-45.0,-7.0,-28.0,-63.0,-43.0,14.0,241,3.0,238.0,2,46.21,9037.0
2020-04-12,32,6,0,Newfoundland and Labrador,72.69,-53.86,-39.36,-71.0,-63.0,32.0,-56.0,-42.0,9.0,242,3.0,239.0,1,46.4,9226.0
2020-04-13,33,0,0,Newfoundland and Labrador,72.69,-38.28,-14.629999999999995,-40.0,-20.0,83.0,-59.0,-59.0,15.0,244,3.0,241.0,2,46.78,9389.0
2020-04-14,34,1,0,Newfoundland and Labrador,72.69,-44.88,-38.79,-49.0,-31.0,-36.0,-65.0,-60.0,20.0,244,3.0,241.0,0,46.78,10296.0
2020-04-15,35,2,0,Newfoundland and Labrador,72.69,-34.91,-19.540000000000006,-39.0,-20.0,15.0,-56.0,-59.0,18.0,247,3.0,244.0,3,47.36,9888.0
2020-04-16,36,3,0,Newfoundland and Labrador,72.69,-35.14,-23.290000000000006,-40.0,-23.0,-16.0,-62.0,-59.0,19.0,252,3.0,249.0,5,48.32,10172.0
2020-04-17,37,4,0,Newfoundland and Labrador,72.69,-28.040000000000006,-10.11,-43.0,-24.0,2.0,-61.0,-44.0,21.0,256,3.0,253.0,4,49.09,10707.0
2020-04-18,38,5,0,Newfoundland and Labrador,72.69,-25.370000000000005,-27.909999999999997,-45.0,-20.0,-7.0,-54.0,-40.0,13.0,257,3.0,65.0,1,49.28,11255.0
2020-04-19,39,6,0,Newfoundland and Labrador,72.69,-58.04,-58.42,-59.0,-45.0,-55.0,-76.0,-36.0,11.0,257,3.0,63.0,0,49.28,11750.0
2020-04-20,40,0,0,Newfoundland and Labrador,72.69,-33.739999999999995,-22.620000000000005,-38.0,-17.0,13.0,-59.0,-57.0,16.0,257,3.0,63.0,0,49.28,11951.0
2020-04-21,41,1,0,Newfoundland and Labrador,72.69,-37.29,-32.81999999999999,-43.0,-26.0,-19.0,-60.0,-58.0,19.0,257,3.0,60.0,0,49.28,12239.0
2020-04-22,42,2,0,Newfoundland and Labrador,72.69,-17.400000000000006,-0.480000000000004,-37.0,-19.0,39.0,-52.0,-57.0,17.0,256,3.0,54.0,-1,49.09,12760.0
2020-04-23,43,3,1,Newfoundland and Labrador,72.69,-21.230000000000004,-20.599999999999994,-40.0,-23.0,-11.0,-59.0,-57.0,19.0,256,3.0,48.0,0,49.09,13157.0
2020-04-24,44,4,0,Newfoundland and Labrador,72.69,-13.870000000000005,-13.760000000000005,-42.0,-22.0,4.0,-54.0,-42.0,20.0,256,3.0,46.0,0,49.09,13623.0
2020-04-25,45,5,0,Newfoundland and Labrador,72.69,-31.439999999999998,-32.150000000000006,-47.0,-21.0,-17.0,-61.0,-40.0,13.0,257,3.0,46.0,1,49.28,14058.0
2020-04-26,46,6,0,Newfoundland and Labrador,72.69,-12.810000000000002,-0.09999999999999432,-19.0,-9.0,109.0,-47.0,-27.0,5.0,258,3.0,36.0,1,49.47,14265.0
2020-04-28,48,1,0,Newfoundland and Labrador,72.69,-20.549999999999997,-22.709999999999994,-36.0,-20.0,-3.0,-57.0,-57.0,13.0,258,3.0,33.0,0,49.47,15157.0
2020-04-29,49,2,0,Newfoundland and Labrador,72.69,-17.379999999999995,-10.39,-36.0,-20.0,10.0,-60.0,-56.0,17.0,258,3.0,30.0,0,49.47,15705.0
2020-04-30,50,3,0,Newfoundland and Labrador,72.69,-11.560000000000002,-2.980000000000004,-32.0,-17.0,35.0,-62.0,-55.0,16.0,258,3.0,30.0,0,49.47,16060.0
2020-05-01,51,4,0,Newfoundland and Labrador,72.69,7.8700000000000045,27.909999999999997,-33.0,-12.0,83.0,-57.0,-37.0,16.0,259,3.0,26.0,1,49.66,16384.0
2020-05-02,52,5,0,Newfoundland and Labrador,72.69,-3.5900000000000034,-10.879999999999995,-40.0,-15.0,1.0,-65.0,-35.0,11.0,259,3.0,25.0,0,49.66,16712.0
2020-05-03,53,6,0,Newfoundland and Labrador,72.69,-35.55,-30.989999999999995,-31.0,-14.0,-12.0,-65.0,-20.0,6.0,259,3.0,24.0,0,49.66,16909.0
2020-05-04,54,0,0,Newfoundland and Labrador,72.69,-11.799999999999997,2.5999999999999943,-28.0,-10.0,73.0,-58.0,-51.0,12.0,259,3.0,23.0,0,49.66,17132.0
2020-05-05,55,1,0,Newfoundland and Labrador,72.69,-26.049999999999997,-27.430000000000007,-46.0,-28.0,-44.0,-72.0,-55.0,19.0,259,3.0,15.0,0,49.66,17500.0
2020-05-06,56,2,0,Newfoundland and Labrador,72.69,-7.030000000000001,-5.390000000000001,-31.0,-11.0,37.0,-62.0,-53.0,16.0,259,3.0,12.0,0,49.66,17822.0
2020-05-07,57,3,0,Newfoundland and Labrador,72.69,-0.23999999999999488,2.5,-30.0,-10.0,46.0,-59.0,-52.0,15.0,261,3.0,14.0,2,50.04,18121.0
2020-05-08,58,4,0,Newfoundland and Labrador,72.69,2.799999999999997,14.239999999999995,-34.0,-7.0,11.0,-61.0,-35.0,18.0,261,3.0,14.0,0,50.04,18351.0
2020-05-09,59,5,0,Newfoundland and Labrador,72.69,11.400000000000006,1.9200000000000017,-30.0,6.0,36.0,-59.0,-29.0,9.0,261,3.0,14.0,0,50.04,18597.0
2020-05-10,60,6,0,Newfoundland and Labrador,72.69,-31.97,-41.58,-15.0,0.0,12.0,-60.0,-12.0,4.0,261,3.0,14.0,0,50.04,18794.0
2020-05-13,63,2,0,Newfoundland and Labrador,70.83,7.730000000000004,11.739999999999995,-28.0,-11.0,42.0,-57.0,-50.0,15.0,261,3.0,11.0,0,50.04,19460.0
2020-05-14,64,3,0,Newfoundland and Labrador,70.83,8.439999999999998,13.189999999999998,-29.0,-13.0,23.0,-59.0,-50.0,13.0,261,3.0,10.0,0,50.04,19701.0
2020-05-15,65,4,0,Newfoundland and Labrador,70.83,16.439999999999998,16.459999999999994,-30.0,-7.0,61.0,-56.0,-32.0,15.0,260,3.0,9.0,-1,49.85,19832.0
2020-05-16,66,5,0,Newfoundland and Labrador,70.83,13.189999999999998,10.200000000000003,-35.0,-8.0,73.0,-57.0,-27.0,7.0,260,3.0,8.0,0,49.85,20179.0
2020-05-17,67,6,0,Newfoundland and Labrador,70.83,1.8799999999999955,-4.519999999999996,-13.0,3.0,156.0,-53.0,-12.0,1.0,260,3.0,8.0,0,49.85,20367.0
2020-05-19,69,1,0,Newfoundland and Labrador,70.83,11.519999999999996,49.860000000000014,-24.0,-6.0,30.0,-60.0,-48.0,14.0,260,3.0,7.0,0,49.85,20600.0
2020-05-20,70,2,0,Newfoundland and Labrador,70.83,27.67,51.110000000000014,-15.0,3.0,121.0,-56.0,-48.0,12.0,260,3.0,7.0,0,49.85,20786.0
2020-05-21,71,3,0,Newfoundland and Labrador,70.83,40.19,28.97,-18.0,-6.0,120.0,-59.0,-47.0,12.0,260,3.0,4.0,0,49.85,21028.0
2020-05-22,72,4,0,Newfoundland and Labrador,70.83,34.84,32.34,-28.0,-7.0,62.0,-57.0,-26.0,15.0,260,3.0,4.0,0,49.85,21275.0
2020-05-23,73,5,0,Newfoundland and Labrador,70.83,23.459999999999994,17.709999999999994,-31.0,-6.0,34.0,-62.0,-20.0,8.0,260,3.0,3.0,0,49.85,21488.0
2020-05-24,74,6,0,Newfoundland and Labrador,70.83,34.69999999999999,22.430000000000007,-4.0,8.0,212.0,-47.0,-6.0,0.0,260,3.0,3.0,0,49.85,21638.0
2020-05-26,76,1,0,Newfoundland and Labrador,70.83,23.099999999999994,28.49000000000001,-24.0,-11.0,75.0,-57.0,-45.0,12.0,260,3.0,2.0,0,49.85,22000.0
2020-05-27,77,2,0,Newfoundland and Labrador,70.83,22.040000000000006,17.810000000000002,-17.0,-4.0,103.0,-54.0,-44.0,12.0,260,3.0,2.0,0,49.85,22180.0
2020-05-28,78,3,0,Newfoundland and Labrador,70.83,25.36,33.00999999999999,-19.0,-7.0,74.0,-60.0,-44.0,12.0,261,3.0,3.0,1,50.04,22566.0
2020-05-29,79,4,0,Newfoundland and Labrador,70.83,56.68000000000001,58.41999999999999,-22.0,0.0,169.0,-51.0,-24.0,11.0,261,3.0,3.0,0,50.04,22761.0
2020-05-30,80,5,0,Newfoundland and Labrador,70.83,37.22999999999999,40.41999999999999,-26.0,-3.0,104.0,-57.0,-10.0,5.0,261,3.0,3.0,0,50.04,23149.0
2020-05-31,81,6,0,Newfoundland and Labrador,70.83,21.260000000000005,9.14,-1.0,8.0,180.0,-49.0,6.0,-1.0,261,3.0,3.0,0,50.04,23369.0
2020-06-02,83,1,0,Newfoundland and Labrador,70.83,10.709999999999994,8.569999999999993,-28.0,-16.0,2.0,-61.0,-43.0,14.0,261,3.0,2.0,0,50.04,23839.0
2020-06-03,84,2,0,Newfoundland and Labrador,70.83,27.819999999999993,41.96000000000001,-19.0,-6.0,106.0,-54.0,-42.0,11.0,261,3.0,2.0,0,50.04,24161.0
2020-06-04,85,3,0,Newfoundland and Labrador,70.83,13.040000000000006,29.44999999999999,-23.0,-11.0,36.0,-59.0,-42.0,13.0,261,3.0,2.0,0,50.04,24548.0
2020-06-05,86,4,0,Newfoundland and Labrador,70.83,54.28999999999999,70.25999999999999,-22.0,-2.0,193.0,-40.0,-19.0,10.0,261,3.0,2.0,0,50.04,24801.0
2020-06-06,87,5,0,Newfoundland and Labrador,70.83,34.53,75.55000000000001,-25.0,-2.0,114.0,-40.0,-10.0,4.0,261,3.0,2.0,0,50.04,25294.0
2020-06-07,88,6,0,Newfoundland and Labrador,70.83,-8.36,1.6400000000000006,-15.0,0.0,33.0,-49.0,3.0,2.0,261,3.0,2.0,0,50.04,25568.0
2020-06-09,90,1,0,Newfoundland and Labrador,70.83,35.09,50.91,-12.0,-8.0,60.0,-41.0,-38.0,10.0,261,3.0,2.0,0,50.04,26278.0
2020-06-10,91,2,0,Newfoundland and Labrador,70.83,35.28999999999999,66.03,-6.0,0.0,98.0,-30.0,-37.0,9.0,261,3.0,2.0,0,50.04,26594.0
2020-06-11,92,3,0,Newfoundland and Labrador,70.83,50.69,53.900000000000006,-6.0,-2.0,112.0,-22.0,-36.0,8.0,261,3.0,2.0,0,50.04,26980.0
2020-06-12,93,4,0,Newfoundland and Labrador,70.83,62.58000000000001,67.75999999999999,-12.0,4.0,181.0,-19.0,-14.0,7.0,261,3.0,2.0,0,50.04,27296.0
2020-06-13,94,5,0,Newfoundland and Labrador,70.83,49.71000000000001,70.74000000000001,-16.0,0.0,128.0,-10.0,-4.0,2.0,261,3.0,2.0,0,50.04,27647.0
2020-06-14,95,6,0,Newfoundland and Labrador,70.83,2.9000000000000057,-4.909999999999997,-4.0,5.0,66.0,-10.0,8.0,-2.0,261,3.0,2.0,0,50.04,27979.0
